id,magnitude,depth,cdi,mmi,sig,label
846,7.17,20,7,7,105,1
847,6.53,12,8,8,-36,1
848,7.2,22,8,7,-79,1
849,6.93,36,6,6,9,1
850,6.75,12,8,7,-71,1
851,6.95,36,6,6,9,1
852,6.51,10,6,7,-110,1
853,6.5,10,6,7,-112,1
854,7.45,36,7,7,36,1
855,6.91,26,8,8,-127,1
856,7.06,138,6,6,55,1
857,7.66,80,8,7,-113,1
858,7.59,28,8,6,-115,1
859,7.62,48,8,8,-124,1
860,6.61,10,8,7,-74,1
861,6.5,9,8,7,-29,1
862,6.9,8,8,8,117,1
863,8.2,17,9,6,8,1
864,7.34,32,7,7,30,1
865,6.9,28,8,6,106,1
866,7.41,25,8,7,0,1
867,6.81,61,6,6,-115,1
868,6.72,12,7,7,-67,1
869,6.78,77,6,6,-105,1
870,6.66,17,6,7,-98,1
871,7.41,24,8,7,-81,1
872,6.75,15,7,7,-112,1
873,7.19,21,7,7,104,1
874,6.81,14,8,7,-70,1
875,7.47,24,9,7,-80,1
876,7.26,23,8,7,-6,1
877,6.9,9,8,8,118,1
878,7.17,45,7,6,-115,1
879,7.89,93,8,6,-52,1
880,6.52,9,7,7,-103,1
881,6.54,14,6,7,-105,1
882,6.73,18,7,7,-99,1
883,7.3,22,9,7,8,1
884,7.74,20,8,7,-3,1
885,6.5,11,7,7,-45,1
886,7.14,20,8,7,-110,1
887,6.5,10,6,7,-113,1
888,7.6,35,9,7,-124,1
889,8.14,25,9,8,52,1
890,7.13,32,9,8,68,1
891,6.9,19,9,7,111,1
892,7.37,32,8,7,14,1
893,7.09,27,7,6,-2,1
894,7.06,143,5,6,8,1
895,7.65,55,8,7,-115,1
896,7.29,119,7,7,61,1
897,8.45,20,8,7,0,1
898,7.58,38,8,7,-127,1
899,7,42,6,6,27,1
900,6.59,13,6,7,-108,1
901,7.34,21,8,7,-31,1
902,6.5,9,7,7,-106,1
903,8.23,18,9,7,2,1
904,7.81,129,8,7,-43,1
905,7.75,136,8,6,-30,1
906,8.33,21,9,7,1,1
907,7.25,42,7,6,-115,1
908,7.65,23,7,8,32,1
909,7.04,51,7,6,-115,1
